age,gender,region,horoscope,personality1,personality2,personality3,personality4,personality5,personality6,personality7,personality8,game,personality9,personality10
37,female,E,Sagittarius,0.9615,1.3562,1.0684,0.9994,0.9503,1.491,0.6414,0.0,The Lost Vikings,1.237,1.2112
21,female,A,Libra,1.87,0.7896,0.5444,1.1402,0.0,1.1716,0.5957,0.0,Hearthstone,1.837,1.6454
21,male,D,Cancer,1.0056,0.3013,2.0838,1.6236,0.1401,1.7712,0.4407,0.0,Diablo,1.0735,0.8641
34,female,B,Cancer,1.1677,0.837,1.2244,0.6759,0.6366,0.7176,0.2476,0.0,The Lost Vikings,0.4424,1.155
32,female,C,Sagittarius,1.3069,1.0482,1.4195,0.8048,0.4377,1.0557,0.8477,0.0,The Lost Vikings,1.3077,0.2355
39,female,C,Leo,1.0849,0.782,0.6313,0.7108,0.3445,1.0245,0.0459,0.0,The Lost Vikings,1.1364,0.4977
26,male,A,Virgo,0.9846,0.9322,0.8992,1.6932,0.7579,1.3566,0.8888,0.0,Diablo,0.5723,0.2593
37,male,B,Leo,1.666,1.001,1.227,1.8366,1.0368,1.329,0.9068,0.0,Diablo,0.9285,1.5442
13,female,D,Scorpio,0.8561,0.1668,0.7238,1.1303,0.5137,0.7849,0.2843,0.0,Overwatch,0.8774,1.1154
21,male,B,Virgo,0.4312,0.924,0.5778,2.0856,0.6643,0.5968,0.1718,0.0,Diablo,1.172,0.4803
20,male,B,Aquarius,0.9825,0.793,0.5071,2.53,0.6739,1.0619,0.1381,0.0,Diablo,1.0036,0.9976
31,male,E,Sagittarius,0.9449,0.7067,1.7232,1.5449,0.3738,1.1514,0.6133,0.1173,The Lost Vikings,1.1911,0.932
21,female,B,Libra,0.5382,1.0466,1.1013,1.0989,0.2397,1.1944,0.6063,0.0,Overwatch,1.6006,1.1571
19,male,E,Cancer,1.4043,0.9952,0.9703,2.1232,0.5622,1.002,0.2385,0.0,Diablo,1.1922,1.3297
23,male,B,Virgo,1.5602,1.1837,1.0187,1.7144,0.5586,0.5189,0.1808,0.0,Diablo,0.6285,0.716
28,male,E,Virgo,1.7165,0.9051,1.4396,1.8601,0.8134,1.1327,0.4855,0.0,Diablo,0.653,0.9496
29,male,E,Sagittarius,1.024,0.8881,0.4893,1.6333,0.5897,0.5422,0.7686,0.0,Diablo,1.0651,0.6065
12,male,B,Pisces,1.4127,1.3189,0.9737,2.3624,0.4443,1.0123,0.7343,0.0,Diablo,1.3211,1.121
23,male,D,Cancer,1.2423,1.5058,0.4,2.484,0.3674,1.2836,0.5222,0.0,Diablo,0.4613,1.2025
16,female,C,Taurus,0.9869,0.5899,1.5414,0.9515,0.0381,0.8595,0.9372,0.0,Overwatch,0.7508,0.2701
19,female,A,Leo,1.6609,1.5808,0.6694,1.5458,0.5857,0.4545,0.2761,0.0,Starcraft,1.0442,0.2691
27,male,B,Leo,1.6492,1.3247,0.8171,1.4654,0.7477,1.0386,0.312,0.0,Diablo,1.4158,0.6543
26,female,B,Libra,1.3458,1.7131,0.9866,0.7204,0.5959,1.0913,0.9556,0.0,Starcraft,1.2917,0.8688
13,female,B,Pisces,0.7823,0.8885,1.2901,0.3987,0.0,1.0064,0.9574,0.0,Overwatch,1.5086,0.9084
31,male,E,Gemini,0.7351,0.8721,1.2101,1.9399,0.1292,0.7225,0.9692,0.0,Diablo,0.977,1.4136
35,female,D,Gemini,0.0,0.8498,0.8363,1.4328,0.0568,1.2082,0.6054,0.0,The Lost Vikings,0.0,0.8419
34,female,E,Leo,0.6626,1.0124,1.1832,1.0376,0.245,1.3248,0.0635,0.0,The Lost Vikings,1.3221,1.2165
28,female,B,Sagittarius,0.7918,0.7399,0.7768,1.582,0.8154,1.2085,0.1563,0.0,Warcraft,0.7941,1.5498
18,male,D,Taurus,1.0689,1.5875,0.1424,2.0851,0.5209,1.2491,0.1808,0.0,Starcraft,0.7546,1.1594
15,male,D,Aquarius,0.607,1.1494,1.0335,2.44,0.4051,0.8868,0.2786,0.0,Overwatch,0.727,0.604
31,male,E,Aries,1.0032,1.5243,1.086,1.8029,0.1637,1.2594,0.3846,0.0,Diablo,0.3428,1.0461
16,female,C,Leo,0.6418,1.041,1.0065,0.9921,0.1635,1.3325,0.5976,0.0,Overwatch,0.6213,1.0281
10,female,A,Capricorn,1.0934,1.4825,0.7134,0.949,0.2209,1.0454,0.4408,0.0,Overwatch,0.7393,0.4419
12,female,C,Pisces,1.5825,1.386,1.1811,0.5471,0.4556,0.5392,0.3124,0.0,Starcraft,0.7915,1.668
19,female,E,Aries,0.2302,0.626,0.8506,1.0232,0.3986,0.7669,0.0867,0.0,Overwatch,0.9989,1.4486
36,female,A,Aries,0.8101,1.0914,0.8453,1.4567,0.7548,1.6829,0.1368,0.0,The Lost Vikings,1.3172,1.9535
32,female,A,Aquarius,0.6417,1.5262,1.4147,0.2133,0.8419,1.3071,0.3765,0.0,The Lost Vikings,0.8075,0.9687
14,female,B,Virgo,0.7897,0.8356,0.817,1.128,0.3694,0.9599,0.1406,0.0,Overwatch,0.8385,1.1335
20,female,D,Taurus,1.3227,1.3896,0.0,1.129,0.0761,1.4983,0.9285,0.0,Hearthstone,1.6353,1.1724
