,age,personality1,personality2,personality3,personality4,personality5,personality6,personality7,personality9,personality10,game_categorical,gender_female,gender_male,region_A,region_B,region_C,region_D,region_E,horoscope_Aquarius,horoscope_Aries,horoscope_Cancer,horoscope_Capricorn,horoscope_Gemini,horoscope_Leo,horoscope_Libra,horoscope_Pisces,horoscope_Sagittarius,horoscope_Scorpio,horoscope_Taurus,horoscope_Virgo
0,37,0.9615,1.3562,1.0684,0.9994,0.9503,1.491,0.6414,1.237,1.2112,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,21,1.87,0.7896,0.5444,1.1402,0.0,1.1716,0.5957,1.837,1.6454,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,21,1.0056,0.3013,2.0838,1.6236,0.1401,1.7712,0.4407,1.0735,0.8641,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3,34,1.1677,0.837,1.2244,0.6759,0.6366,0.7176,0.2476,0.4424,1.155,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,32,1.3069,1.0482,1.4195,0.8048,0.4377,1.0557,0.8477,1.3077,0.2355,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,39,1.0849,0.782,0.6313,0.7108,0.3445,1.0245,0.0459,1.1364,0.4977,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,26,0.9846,0.9322,0.8992,1.6932,0.7579,1.3566,0.8888,0.5723,0.2593,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,37,1.666,1.001,1.227,1.8366,1.0368,1.329,0.9068,0.9285,1.5442,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,13,0.8561,0.1668,0.7238,1.1303,0.5137,0.7849,0.2843,0.8774,1.1154,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
9,21,0.4312,0.924,0.5778,2.0856,0.6643,0.5968,0.1718,1.172,0.4803,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,20,0.9825,0.793,0.5071,2.53,0.6739,1.0619,0.1381,1.0036,0.9976,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,31,0.9449,0.7067,1.7232,1.5449,0.3738,1.1514,0.6133,1.1911,0.932,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
12,21,0.5382,1.0466,1.1013,1.0989,0.2397,1.1944,0.6063,1.6006,1.1571,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,19,1.4043,0.9952,0.9703,2.1232,0.5622,1.002,0.2385,1.1922,1.3297,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
14,23,1.5602,1.1837,1.0187,1.7144,0.5586,0.5189,0.1808,0.6285,0.716,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,28,1.7165,0.9051,1.4396,1.8601,0.8134,1.1327,0.4855,0.653,0.9496,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
16,29,1.024,0.8881,0.4893,1.6333,0.5897,0.5422,0.7686,1.0651,0.6065,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
17,12,1.4127,1.3189,0.9737,2.3624,0.4443,1.0123,0.7343,1.3211,1.121,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,23,1.2423,1.5058,0.4,2.484,0.3674,1.2836,0.5222,0.4613,1.2025,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
19,16,0.9869,0.5899,1.5414,0.9515,0.0381,0.8595,0.9372,0.7508,0.2701,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,19,1.6609,1.5808,0.6694,1.5458,0.5857,0.4545,0.2761,1.0442,0.2691,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,27,1.6492,1.3247,0.8171,1.4654,0.7477,1.0386,0.312,1.4158,0.6543,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,26,1.3458,1.7131,0.9866,0.7204,0.5959,1.0913,0.9556,1.2917,0.8688,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,13,0.7823,0.8885,1.2901,0.3987,0.0,1.0064,0.9574,1.5086,0.9084,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,31,0.7351,0.8721,1.2101,1.9399,0.1292,0.7225,0.9692,0.977,1.4136,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
25,35,0.0,0.8498,0.8363,1.4328,0.0568,1.2082,0.6054,0.0,0.8419,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
26,34,0.6626,1.0124,1.1832,1.0376,0.245,1.3248,0.0635,1.3221,1.2165,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
27,28,0.7918,0.7399,0.7768,1.582,0.8154,1.2085,0.1563,0.7941,1.5498,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,18,1.0689,1.5875,0.1424,2.0851,0.5209,1.2491,0.1808,0.7546,1.1594,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
29,15,0.607,1.1494,1.0335,2.44,0.4051,0.8868,0.2786,0.727,0.604,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
30,31,1.0032,1.5243,1.086,1.8029,0.1637,1.2594,0.3846,0.3428,1.0461,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
31,16,0.6418,1.041,1.0065,0.9921,0.1635,1.3325,0.5976,0.6213,1.0281,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,10,1.0934,1.4825,0.7134,0.949,0.2209,1.0454,0.4408,0.7393,0.4419,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,12,1.5825,1.386,1.1811,0.5471,0.4556,0.5392,0.3124,0.7915,1.668,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,19,0.2302,0.626,0.8506,1.0232,0.3986,0.7669,0.0867,0.9989,1.4486,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
35,36,0.8101,1.0914,0.8453,1.4567,0.7548,1.6829,0.1368,1.3172,1.9535,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,32,0.6417,1.5262,1.4147,0.2133,0.8419,1.3071,0.3765,0.8075,0.9687,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,14,0.7897,0.8356,0.817,1.128,0.3694,0.9599,0.1406,0.8385,1.1335,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
